ancestry,noble,farmer,exile,criminal,monastic,military,scholar,wilds,labourer,merchant
human,The fourth child is not entitled to any inheritance,The land became barren and foul,Grew up without a name,Grew up on the streets,Tithed to a religious order,On leave to find your fortune,Expelled from the academy for an unsanctioned theory,Born in a frontier settlement that no longer exists,Worked a trade since before you could read,Apprenticed to a caravan master who vanished
fae,Last in a long line,Tended to the living trees,Child of a lost kingdom,Violater of ancient laws,First time away from the sacred grove,Former guard of an assassinated Elf Lord,Studying mortal magic in secret,Wandered too far from the grove and forgot the way back,Bound to mortal service to repay a debt,Trades in favors that are never quite what they seem
dwarf,I must prove my worth to my parents for the throne,Master of mushrooms and manure,Sworn to never return to the depths,Escaped slave miner,Sent as part of a cultural exchange,Deserted a clan war you no longer believe in,Obsessed with a lost theory,Surface-born and never set foot in the ancestral halls,Forge-hands since before your beard came in,Selling family heirlooms to settle a debt of honor
goblin,Kicked out after a coup,Disgraced swineherd,Last of a despised clan,The charges never stuck long enough to matter,They still doubt my worth,Conscripted as a scout no one expected to survive,Reads better than anyone gives a goblin credit for,Raised by a warren that no longer exists,The dirtiest jobs always fell to you,Runs a stall everyone swears they never bought from
outsider,Sent to fulfil a prophecy,A simple chosen life interrupted,Cast away from a world that time has forgotten,Sent to shatter an uneasy balance,A cult hero seeking escape,Conscripted into a war that isn't yours,Cataloguing this world like it's an experiment,Stranded here when the crossing closed behind you,Working off the cost of a one-way passage,Trading knowledge of places no one here has seen
construct,Created to replace a lost child,Built for endless labour,Created with forbidden magic,Programmed without a moral compass,Animated by divine mystery,Built as a weapon and decommissioned before the war ended,Reprogrammed yourself to want to learn,Abandoned in the wilderness when your maker disappeared,Still doing the job you were built for unpaid,Appraises goods with unsettling perfect precision
beastkin,The bastard child of a king and a beast,More comfortable amongst the animals,Branded an abomination,An agent of the resistance,Grew up in the one place you've found acceptance,Fought on a front line they wouldn't let you lead,First of your kind admitted to the university and they never let you forget it,Raised by the pack,Hired for the strength and never the skill,Bartered for safe passage your whole childhood
halfling,Sent on behalf of the council,Sent into the world for finer seeds,A heretic that loves the world of the big people,Nobody suspects the halfling,Not even you know how you ended up at the monastery,Too small to fight and too stubborn to be left behind,The council's former record-keeper who knows too much,Lost the caravan and prefer the quiet,Worked twice as hard to be taken half as seriously,"You were supposed to take over the business, but it's gone"
witch,Preferred the slow knife of rumor and hex,The blight came; you learned to send it elsewhere,They feared it before you learned to use it,Hexes leave fewer witnesses than conventional methods,The sacred texts had an appendix nobody mentioned,The general wanted a weapon; you became several,Applied malediction: the thesis alarmed the faculty,The old things in the dark taught their own language,Years of thankless work distilled into something lasting,Every deal is cursed eventually; you go first
cleric,The temple needed a patron; you needed a purpose,Prayed for the harvest and something answered,Healing others was the only thing that felt like home,Saw too many people die badly; decided to stop it,The order chose you before you could choose anything,Kept the soldiers alive long enough to matter,Studied the theology of miracles until one worked,The land's suffering needed someone willing to mend it,The accidents never stopped; you learned to fix people faster,People trust a healer farther than a trader
mage,Magic was beneath the family; that made it interesting,The ley lines make more sense when you grew up on them,The only thing they couldn't take was in your head,Fire solves most problems faster than a crowbar,Arcane and monastic discipline share more than expected,Reassigned from artillery when you became the artillery,The theory was always right; the scale just needed adjusting,The magic out there doesn't ask permission and neither do you,Spent years moving things by hand; found a better way,A mind built for trade routes adapts well to spell geometry
druid,The estate's garden spoke first; the forest spoke next,The soil isn't just for growing things; it listens,The wilderness took you in when people wouldn't,Used nature as cover until it started using you back,The order's prayers to nature eventually got a response,The terrain was always the best weapon; you learned to wake it,The natural philosophy papers were wrong; you went to check,Raised in the deep places; still half in them,Every forest you cleared pushed back; eventually you stopped,The forest can be a road if you ask it correctly
ranger,The estates were beautiful; the hunting grounds were better,Pest control for the fields grew into something larger,Living outside borders taught you to see them first,Always operated at range; became very good at it,The scouting missions never returned; you were the exception,Assigned to reconnaissance; never quite returned to formation,Wrote the definitive survival manual; then field-tested every chapter,Grew up knowing where everything was by sound alone,Spent years reading the land until it started reading back,Supply routes need someone who sees trouble arriving early
mercenary,Selling your skills felt more honest than inheriting them,The farm couldn't pay in coin; the contract could,Work without allegiance suits someone with nowhere to return,The difference between criminal and mercenary is paperwork,The martial training needed an outlet the order wouldn't sanction,Left service when the pay stopped matching the risk,Studied the economics of force; became a practitioner,Protection work suits someone who knows how to vanish,The body is a tool; might as well rent it well,The caravan needed a guard more than you needed the caravan
knight,The title came with armor; you earned what goes inside,Swore to protect the harvest from men on horses; became one,Honor survived when everything else was stripped away,Took the king's pardon in exchange for shield duty; kept both,The order needed a sword arm; you were volunteered,Rose through the ranks by not dying when others did,Studied defensive formation theory until you were the one teaching it,Forged your own armor because no armorer came that far,Built walls for others your whole life; learned to be one,The caravans needed protection and a reputation; you offered both
soldier,The commission bought a rank; the battlefield built the rest,Conscripted; discovered an unexpected talent for it,Fighting for someone else's cause is still fighting,Took the enlistment over the sentence; some habits carried over,The order trained for war; peace never quite settled afterward,Never left; never had reason to,Wrote the manual on unit tactics; then went to test it,Survival out there taught formation before anyone used the word,Joined up because it paid the same and the work mattered more,Every supply line needs someone who can defend it
monk,Renounced everything; kept the discipline,The body built by labor turned out to be the weapon,Stillness came easier with nothing left to protect,Found that unarmed was still very very armed,Born to this; shaped by every blow received and returned,Left service looking for something worth the pain,Mapped the body's pressure points with academic precision,The wilderness has no weapons; you became the answer,Years of physical work became something more deliberate,Bodyguard work was the practice space; you outgrew the clients
swashbuckler,Dueling was the one family tradition worth keeping,Too fast for the fields; found a better use for it,A blade and quick feet carry farther than a home,The most dangerous person in the room doesn't need a plan,The order practiced forms; you practiced them faster than they liked,Transferred out of formation; worked better alone anyway,Applied geometry to swordplay; wrote a pamphlet on it,Learned to move without sound; then without restraint,The dock fights taught footwork no academy ever would,The blade opened doors the coin couldn't
rogue,The servants saw everything; you learned from them,Moving quietly was survival long before it became a profession,Disappearing is a skill best learned when someone is looking,The craft was never about the money; you loved the work,The vow of silence had applications the order hadn't considered,Assigned to infiltration; never fully came back out,Researched the underworld academically until they recruited you,Prey learns to be invisible or it becomes food,Night shifts taught you that most doors open if you know how,Supply chain management is logistics; this is more interesting
bard,Performance was always expected; you made it mean something,The work songs carried weight you didn't understand until you left,All you took when they sent you away was the music,The best con ends with the audience applauding,The chants worked; you needed to know exactly why,The soldiers needed morale; you supplied it with interest,Proved that music affects the nervous system — the hard way,The land has songs no concert hall has ever heard,Sang to make the work bearable; the song did more than that,Every deal is a performance; you became expert at both
barbarian,The title burned down; only the fury survived,Every plow breaks eventually; so did you,"When everything was taken, force was all that remained",Started the fight before anyone finished explaining the crime,Left when they insisted on patience,Led from the front until there were no orders left,Every theory of war ends with the same fist,The wilderness has no use for those who hesitate,The body knew what it was for before you did,Negotiations ended badly; everything after was simpler
